Recorded Date,What gender do you identify as?,Age,Approximate_Income,Zipcode,"Do you currently monitor the health of anyone, including yourself, in these following groups? Click all that apply.","Are you interested in monitoring the health of anyone, including yourself, in these following groups? (Click all that apply)","You indicated that you do not currently monitor the health of anyone, including yourself, in these particular groups. Are you interested in monitoring the health of anyone, including yourself, in these following groups? (Click all that apply)",How often do you monitor the health of a child/children? - 1,How do you currently monitor the health of a child/children.(Check all that apply),"If you said ""other"" for how you monitor the health of a child/children, please explain your method below",Search_Children,"If you said ""other"" for where you have searched for a solution to your health monitoring needs for a child/children, please list where you have searched below",Does the child/children that you monitor have/had any chronic medical conditions?,Child_Chronic_Illness,Ranking_Child_BT,Ranking_Child_HR,Ranking_Child_BO,Ranking_Child_AT,Ranking_Child_FD,"WTP_Child, BT,HR,BO","WTP_Child_BT,HR,BO,AT","WTP_Child_BT,HR,BO,FD","If you said you would pay $0 for a device that can measure a child's/children's body temperature, heart rate, and body orientation, what is your reasoning for that price point?","If you said ""other"" for the previous question, please give your reasoning below.",How often do you monitor the health of an adult with a chronic illness? - 1,How do you currently monitor the health of an adult with a chronic illness? (Check all that apply),"If you said ""other"" for how you monitor the health of an adult with a chronic illness, please explain your method below",Search_Adult,"If you said ""other"" for where you have searched for a solution to your health monitoring needs for an adult with a chronic illness, please list where you have searched below",Adult_Chronic_Illness_Type,Ranking_Adult_BT,Ranking_Adult_HR,Ranking_Adult_BO,Ranking_Adult_AT,Ranking_Adult_FD,"WTP_Adult_BT,HR,BO","WTP_Adult_BT,HR,BO,AT","WTP_Adult_BT,HR,BO,FD","If you said you would pay $0 for a device that can measure the body temperature, heart rate, and body orientation of an adult with a chronic illness, what is your reasoning for that price point?","If you said ""other"" for the previous question, please give your reasoning below",How often do you monitor the health of a person over the age of 65? - 1,How do you currently monitor the health of a person over the age of 65? (Check all that apply),"If you said ""other"" for how you monitor the health of a person over the age of 65, please explain your method below",Search_Senior,"If you said ""other"" for where you have searched for a solution to your health monitoring needs for a person over the age of 65, please list where you have searched below",Ranking_Senior_BT,Ranking_Senior_HR,Ranking_Senior_BO,Ranking_Senior_AT,Ranking_Senior_FD,"WTP_Senior_BT,HR,BO","WTP_Senior_BT,HR,BO,AT","WTP_Senior_BT,HR,BO,FD","If you said you would pay $0 for a device that can measure the body temperature, heart rate, and body orientation of a person over the age of 65, what is your reasoning for that price point?","If you said ""other"" for the previous question, please give your reasoning below",Subscription_$499,Subscription_$249,Subscription_$49,Feature_Rating_Access_data_on_multiple_devices,Feature_Rating_Remote_monitoring,Feature_Rating_Personalized_analytics,Feature_Rating_Real_time_alerts_to_abnormal_values/trends,Feature_Rating_Interactive_graph_with_historical_trends,Feature_Rating_Alert_history,"Feature_Rating_Daily,weekly,monthly_graphs",Feature_Rating_Share_data,Feature_Rating_monitor_multiple_people,"If you rated any of the monitoring features as 0, what is your reasoning for that value?",Subscription_Length,"If you said you anticipate using the premium monitoring plan for 0 months, what is your reasoning for that value?"
4/11/2020 11:03:39,Female,23-35,"$0-$49,999",,"A child/children,An adult with a chronic illness,Anyone over the age of 65","A child/children,An adult with a chronic illness,Anyone over the age of 65",,Once a day,"Visually,By touch",,"Amazon,Web search (i.e. Google),Retail stores (i.e. Target),Pharmacy (i.e. CVS Pharmacy)",,Prefer not to say,Potential genetic condition,1,2,5,4,3,100,125,150,,,Multiple times a day,"Visually,By touch,Thermometer,Wearable device,By phone,Other",Home BP cuff,"Amazon,Web search (i.e. Google),Social Media (i.e. Facebook),Retail stores (i.e. Target),Pharmacy (i.e. CVS Pharmacy),Healthcare Provider",,,4,1,3,5,2,151,150,201,,,Once a week,By phone,,"Amazon,Web search (i.e. Google)",,5,1,4,3,2,132,150,196,,,0,0,0,,8,8,9,10,,10,10,6,,0,"Charging for alerts to abnormal conditions, when especially in the chronically ill a spike in heart rate or a fall may be life-threatening, is deeply immoral. While the free app functions may be beneficial, I would choose to not to buy into a service that is predatory on nature. There is not currently an affordable monitor like this, and the potential is very exciting. The idea of having to pay in order to take it from ""novelty self-study"" to ""medically useful"" is abhorrent. "
4/11/2020 11:05:20,Female,0-22,"$50,000-$99,999",,"A child/children,None",A child/children,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2020 12:29:47,Male,0-22,Prefer not to say,27597,An adult with a chronic illness,An adult with a chronic illness,,,,,,,,,,,,,,,,,,,Multiple times a day,"Visually,By touch,Other",Automatic blood pressure machine,"Amazon,Web search (i.e. Google),Retail stores (i.e. Target)",,"Systemic lupus erythematosus, postural orthostatic tachycardia syndrome, migraines, gastroparesis, hypermobility, hypothyroidism",3,1,4,2,5,175,224,223,,,,,,,,,,,,,,,,,,0,0,10,,,9,10,10,9,9,10,,,60,
4/11/2020 14:50:10,Female,0-22,Prefer not to say,,A child/children,"A child/children,An adult with a chronic illness",,Multiple times a day,"Visually,By touch,Wearable device,By phone",,"Amazon,Web search (i.e. Google),Social Media (i.e. Facebook),Retail stores (i.e. Target),Pharmacy (i.e. CVS Pharmacy),Healthcare Provider",,Yes,,5,1,3,4,2,99,99,142,,,,,,,,,4,1,3,5,2,73,99,149,,,,,,,,,,,,,,,,,,4,3,1,7,2,9,10,9,10,8,3,1,,0,Too expensive 
4/11/2020 17:17:44,Female,0-22,"$0-$49,999",,An adult with a chronic illness,An adult with a chronic illness,,,,,,,,,,,,,,,,,,,Multiple times a day,"Visually,By touch,Thermometer,Wearable device,By phone,Other",insulin pumps and other devices,Healthcare Provider,,"ehlers danlos, neutropenia, type 1 diabetes ",2,1,3,5,4,299,294,299,,,,,,,,,,,,,,,,,,25,15,10,9,10,8,8,8,8,8,9,3,,60,
4/11/2020 18:42:55,Male,23-35,"$100,000-$149,999",49503,None,,A Child/children,,,,,,Yes,"Chronic lung disease, dysphagia",1,2,3,4,5,106,98,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,15,10,10,10,10,10,10,10,10,10,,12,
4/11/2020 18:46:50,Female,23-35,"$0-$49,999",49503,None,,A Child/children,,,,,,Yes,Chronic lung disease,1,2,4,3,5,204,250,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,20,15,10,10,10,10,10,10,10,10,10,,24,
4/11/2020 19:08:36,Female,0-22,"$0-$49,999",48323,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2020 19:08:40,Male,23-35,"$0-$49,999",44221,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2020 19:10:17,Female,23-35,"$0-$49,999",48310,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2020 1:57:49,Female,46-55,"$0-$49,999",,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/2020 6:53:16,Female,36-45,"$200,000+",49301,"A child/children,Anyone over the age of 65","A child/children,Anyone over the age of 65",,Multiple times a day,"Visually,By touch,Thermometer",,"Amazon,Web search (i.e. Google),Retail stores (i.e. Target)",,No,,2,1,4,3,5,150,174,168,,,,,,,,,,,,,,,,,,,Once a week,By phone,,I have not searched for a health monitoring product,,2,1,4,3,5,150,180,188,,,10,24,51,10,10,10,10,10,,9,8,10,,36,
4/12/2020 10:21:28,Male,46-55,"$150,000-$199,999",48315,A child/children,A child/children,,Once a day,"Visually,By touch,Thermometer",,I have not searched for a health monitoring product,,No,,1,2,3,4,5,210,204,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,10,10,10,10,10,10,10,,12,
4/12/2020 21:59:48,Female,46-55,"$150,000-$199,999",massachusetts/stockholm,An adult with a chronic illness,An adult with a chronic illness,,,,,,,,,,,,,,,,,,,Once a day,"Wearable device,By phone",,"Healthcare Provider,Other",Medical professionals have given the person a prescription with information to share of how to monitor etc.,Type 1 Diabetes,3,1,4,2,5,204,250,201,,,,,,,,,,,,,,,,,,10,20,20,10,10,9,10,7,7,6,8,7,,42,
4/13/2020 8:40:49,Female,46-55,"$0-$49,999",2364,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 10:52:32,Male,36-45,"$50,000-$99,999",SWE/PHILADELPHIA,None,,A Child/children,,,,,,No,,3,1,2,4,5,152,255,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,21,10,10,6,10,7,7,6,8,7,,12,
4/13/2020 11:30:06,Female,56-64,"$100,000-$149,999",49319,"An adult with a chronic illness,Anyone over the age of 65","An adult with a chronic illness,Anyone over the age of 65",,,,,,,,,,,,,,,,,,,Once a day,By phone,,Healthcare Provider,,End stage heart failure ,3,1,2,4,5,206,222,204,,,Once a day,By phone,,"Pharmacy (i.e. CVS Pharmacy),Healthcare Provider",,4,1,3,5,2,207,221,196,,,26,26,30,2,9,8,9,5,4,4,8,2,,12,
4/13/2020 15:23:54,Male,46-55,"$150,000-$199,999",48167,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 15:24:51,Female,0-22,"$0-$49,999",48167,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 15:25:41,Female,36-45,"$100,000-$149,999",48167,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 15:26:08,Male,0-22,"$0-$49,999",48167,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 15:26:50,Female,56-64,"$50,000-$99,999",48001,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 15:27:53,Male,46-55,"$100,000-$149,999",48377,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 15:29:29,Female,36-45,"$0-$49,999",48377,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 15:53:02,Male,46-55,"$150,000-$199,999",48073,A child/children,A child/children,,Once a day,Visually,,Web search (i.e. Google),,No,,1,2,3,4,5,101,108,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,11,7,10,9,8,5,9,6,8,7,,22,
4/13/2020 15:58:05,Female,23-35,"$50,000-$99,999",48073,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 16:03:43,Male,46-55,"$150,000-$199,999",48375,None,,A Child/children,,,,,,No,,1,2,3,4,5,112,121,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,23,5,5,5,5,5,5,5,5,5,,24,
4/13/2020 16:10:52,Female,46-55,"$100,000-$149,999",48073,"A child/children,An adult with a chronic illness","A child/children,An adult with a chronic illness,Anyone over the age of 65",,Once a day,Visually,,Web search (i.e. Google),,No,,2,1,3,5,4,250,502,250,,,Once a day,"Visually,By phone",,"Web search (i.e. Google),Healthcare Provider",,Dementia,2,1,4,5,3,403,0,500,,,,,,,,2,1,5,4,3,252,500,500,,,50,50,50,10,10,6,10,10,10,8,10,10,,60,
4/13/2020 16:43:00,Female,56-64,"$150,000-$199,999",48360,None,,"An adult with a chronic illness,Anyone over the age of 65",,,,,,,,,,,,,,,,,,,,,,,"Dementia, Diabetes, HTN",1,3,4,5,2,199,193,199,,,,,,,,1,3,5,4,2,406,417,403,,,25,25,25,7,7,5,7,5,5,5,5,7,,12,
4/13/2020 16:46:14,Female,36-45,"$0-$49,999",,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2020 17:52:01,Male,0-22,"$50,000-$99,999",48374,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2020 7:22:49,Male,36-45,"$100,000-$149,999",48302,A child/children,"A child/children,Anyone over the age of 65",,Once a day,"Visually,Thermometer",,"Amazon,Healthcare Provider",,No,,1,2,4,3,5,75,175,175,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,5,3,101,199,199,,,10,20,25,6,10,8,10,6,7,8,10,10,,60,
4/14/2020 8:09:55,Male,36-45,"$50,000-$99,999",48393,An adult with a chronic illness,An adult with a chronic illness,,,,,,,,,,,,,,,,,,,Once a day,"Wearable device,By phone",,Healthcare Provider,,Type 1 diabetes,4,2,3,1,5,201,300,300,,,,,,,,,,,,,,,,,,25,25,25,9,10,9,10,6,1,5,,0,I prefer others do not monitor me because it feels as if I'm being judged.,12,
4/14/2020 8:12:17,Male,46-55,"$50,000-$99,999",48066,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2020 9:12:02,Male,56-64,"$50,000-$99,999",48439,None,,An adult with a chronic illness,,,,,,,,,,,,,,,,,,,,,,,Heart Problems,3,1,4,5,2,300,300,300,,,,,,,,,,,,,,,,,,50,50,25,8,10,9,10,9,10,10,10,10,,24,
4/14/2020 9:56:50,Male,56-64,"$50,000-$99,999",48154,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2020 12:33:38,Female,0-22,"$0-$49,999",,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/2020 12:42:41,Male,56-64,"$50,000-$99,999",,Anyone over the age of 65,"Anyone over the age of 65,None",,,,,,,,,,,,,,,,,,,,,,,,High blood pressure,,,,,,,,,,,Once a month,Other,Take reading ,I have not searched for a health monitoring product,,3,1,4,5,2,103,143,212,,,19,28,37,8,8,8,9,9,10,10,8,7,,47,
4/14/2020 14:46:45,Male,46-55,"$50,000-$99,999",48326,None,,Anyone over the age of 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,5,4,201,250,300,,,25,14,10,10,9,9,10,10,9,7,9,10,,36,
4/15/2020 7:25:06,Male,36-45,"$150,000-$199,999",48126,"A child/children,An adult with a chronic illness,Anyone over the age of 65","A child/children,An adult with a chronic illness,Anyone over the age of 65",,Once a month,"Visually,Thermometer",,"Amazon,Web search (i.e. Google),Retail stores (i.e. Target),Pharmacy (i.e. CVS Pharmacy)",,No,,1,2,5,4,3,85,101,105,,,Once a day,By phone,,"Amazon,Web search (i.e. Google),Retail stores (i.e. Target),Pharmacy (i.e. CVS Pharmacy)",,Lung cancer ,2,3,5,4,1,99,21,151,,,Twice a week,By phone,,"Amazon,Web search (i.e. Google),Retail stores (i.e. Target),Pharmacy (i.e. CVS Pharmacy)",,3,2,4,5,1,83,34,108,,,11,9,9,2,3,8,7,7,6,6,10,3,,7,
4/15/2020 7:39:57,Female,23-35,"$150,000-$199,999",49315,None,,A Child/children,,,,,,No,,1,2,4,3,5,250,300,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,10,10,7,8,8,7,7,7,7,,18,
4/15/2020 7:45:04,Female,23-35,"$0-$49,999",13760,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2020 8:03:30,Female,23-35,"$100,000-$149,999",49506,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2020 8:06:37,Female,23-35,"$50,000-$99,999",49508,A child/children,"A child/children,An adult with a chronic illness,Anyone over the age of 65",,Multiple times a day,"Visually,By touch,Thermometer",,"Amazon,Web search (i.e. Google),Retail stores (i.e. Target)",,No,,2,1,3,4,5,350,400,400,,,,,,,,,2,1,4,5,3,400,400,400,,,,,,,,2,1,5,4,3,350,400,400,,,25,25,25,7,10,9,9,8,9,7,7,8,,48,
4/15/2020 8:25:56,Female,46-55,"$150,000-$199,999",49428,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2020 8:47:10,Female,23-35,"$100,000-$149,999",49418,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2020 9:09:37,Female,23-35,"$100,000-$149,999",49316,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2020 10:34:31,Female,36-45,"$100,000-$149,999",49319,A child/children,A child/children,,Once a day,"Visually,By touch",,"Amazon,Retail stores (i.e. Target),Pharmacy (i.e. CVS Pharmacy)",,Yes,idiopathic neutropenia,1,2,3,4,5,101,101,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,10,10,10,10,10,8,8,8,10,10,,12,
4/15/2020 12:27:08,Female,46-55,Prefer not to say,,Anyone over the age of 65,Anyone over the age of 65,,,,,,,,,,,,,,,,,,,,,,,,Heart problems ,,,,,,,,,,,Twice a week,By phone,,Healthcare Provider,,2,1,3,5,4,206,201,299,,,100,100,100,10,10,10,10,10,10,10,10,6,,24,
4/15/2020 14:08:38,Male,23-35,"$50,000-$99,999",49505,A child/children,A child/children,,Multiple times a day,"Visually,By touch,Thermometer",,I have not searched for a health monitoring product,,Yes,"I monitor children at work, so a wide array of medical problems. ",1,2,4,3,5,99,151,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,15,10,6,7,3,9,,7,7,4,3,,24,
4/15/2020 17:01:27,Female,36-45,Prefer not to say,,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2020 17:09:51,Female,46-55,"$50,000-$99,999",49315,"A child/children,An adult with a chronic illness,Anyone over the age of 65",A child/children,,Multiple times a day,"Visually,By touch,By phone",,Healthcare Provider,,Yes,Asthma,2,1,4,5,3,113,123,113,,,Twice a week,By phone,,"Web search (i.e. Google),Retail stores (i.e. Target),Pharmacy (i.e. CVS Pharmacy)",,Copd,2,1,5,3,4,77,130,464,,,Twice a week,By phone,,"Web search (i.e. Google),Pharmacy (i.e. CVS Pharmacy),Healthcare Provider",,2,1,5,4,3,142,139,257,,,27,14,10,7,10,3,10,,8,2,10,8,,26,
4/15/2020 18:15:05,Female,65+,"$50,000-$99,999",48135,Anyone over the age of 65,Anyone over the age of 65,,,,,,,,,,,,,,,,,,,,,,,,COPD,,,,,,,,,,,Once a day,Other,Oximeter,"Pharmacy (i.e. CVS Pharmacy),Healthcare Provider",,2,1,3,4,5,302,351,354,,,25,25,25,7,7,7,8,6,6,6,8,6,,48,
4/15/2020 22:07:08,Male,0-22,"$0-$49,999",48168,An adult with a chronic illness,A child/children,,,,,,,No,,1,2,5,4,3,292,323,374,,,Twice a week,Visually,,Web search (i.e. Google),,,2,1,5,4,3,320,346,410,,,,,,,,,,,,,,,,,,56,67,64,6,6,6,7,8,8,9,9,6,,6,
4/15/2020 22:14:27,Female,0-22,"$0-$49,999",48301,None,,Anyone over the age of 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,4,1,99,126,178,,,59,36,13,6,9,8,10,4,7,7,7,5,,24,
4/15/2020 22:19:34,Male,0-22,Prefer not to say,48302,None,,"A Child/children,An adult with a chronic illness,Anyone over the age of 65",,,,,,No,,1,2,3,4,5,498,508,250,,,,,,,,,1,2,5,3,4,555,403,225,,,,,,,,4,1,5,3,2,702,480,457,,,24,49,90,10,10,7,10,3,2,2,10,10,,30,
4/15/2020 22:21:38,Female,0-22,"$0-$49,999",48109,An adult with a chronic illness,"A child/children,An adult with a chronic illness,Anyone over the age of 65",,,,,,,Prefer not to say,,2,1,5,3,4,195,195,195,,,Once a week,Visually,,I have not searched for a health monitoring product,,,2,1,5,4,3,199,202,202,,,,,,,,3,1,5,4,2,268,264,346,,,20,21,21,5,5,9,10,9,9,7,8,8,,24,
4/16/2020 10:06:37,Male,23-35,"$100,000-$149,999",49505,None,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
